Allen_ID;R;G;B;name;nutil_id;D1R_classifier;D2R_classifier
1;255;76;62;Tuberomammillary nucleus, ventral part;1;general;general
2;24;128;100;Primary somatosensory area, mouth, layer 6b;2;general;general
3;170;170;170;secondary fissure;3;fibrous;fibrous
4;255;122;255;Inferior colliculus;4;general;general
6;204;204;204;internal capsule;5;fibrous;fibrous
7;255;174;111;Principal sensory nucleus of the trigeminal;6;general;general
8;191;218;227;Basic cell groups and regions;7;general;general
9;24;128;100;Primary somatosensory area, trunk, layer 6a;8;general;general
10;255;144;255;Superior colliculus, motor related, intermediate gray layer;9;general;general
11;204;204;204;posterolateral fissure;10;fibrous;fibrous
12;255;166;255;Interfascicular nucleus raphe;11;general;heavily
14;204;204;204;internal medullary lamina of the thalamus;12;fibrous;fibrous
15;255;144;159;Parataenial nucleus;13;general;general
16;138;218;135;Layer 6b, isocortex;14;general;general
17;255;144;255;Superior colliculus, motor related, intermediate white layer;15;general;general
18;170;170;170;nodular fissure;16;fibrous;fibrous
19;126;208;75;Induseum griseum;17;general;general
20;50;184;37;Entorhinal area, lateral part, layer 2;18;general;general
21;204;204;204;lateral olfactory tract, general;19;fibrous;fibrous
22;0;159;172;Posterior parietal association areas;20;general;general
23;128;192;226;Anterior amygdalar area;21;general;general
25;170;170;170;simple fissure;22;fibrous;fibrous
26;255;144;255;Superior colliculus, motor related, deep gray layer;23;general;general
27;255;144;159;Intergeniculate leaflet of the lateral geniculate complex;24;heavily;general
28;50;184;37;Entorhinal area, lateral part, layer 6a;25;general;general
29;204;204;204;lateral spinothalamic tract;26;fibrous;fibrous
30;255;93;80;Periventricular hypothalamic nucleus, anterior part;27;general;general
31;64;166;102;Anterior cingulate area;28;general;general
33;8;133;140;Primary visual area, layer 6a;29;general;general
34;170;170;170;intercrural fissure;30;fibrous;fibrous
35;255;144;255;Oculomotor nucleus;31;general;general
36;0;156;117;Gustatory areas, layer 1;32;general;general
37;204;204;204;longitudinal association bundle;33;fibrous;fibrous
38;255;93;80;Paraventricular hypothalamic nucleus;34;general;general
39;64;166;102;Anterior cingulate area, dorsal part;35;general;general
41;8;133;140;posteromedial visual area, layer 2/3;36;general;general
42;255;144;255;Superior colliculus, motor related, deep white layer;37;general;general
43;170;170;170;ansoparamedian fissure;38;fibrous;fibrous
44;89;179;99;Infralimbic area;39;general;general
45;255;165;210;Spinal nucleus of the trigeminal, oral part, rostral dorsomedial part;40;general;general
46;204;204;204;mammillary related;41;fibrous;fibrous
47;255;93;80;Paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part;42;general;general
48;64;166;102;Anterior cingulate area, ventral part;43;general;general
49;204;204;204;intraparafloccular fissure;44;fibrous;fibrous
50;255;144;255;Precommissural nucleus;45;general;general
51;255;144;159;Intralaminar nuclei of the dorsal thalamus;46;general;general
52;50;184;37;Entorhinal area, lateral part, layer 3;47;general;general
53;255;165;210;Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone;48;general;general
54;204;204;204;medial forebrain bundle;49;fibrous;fibrous
